,contcod,country,region,year,inc_con,source,mysample,bin_year,group,pop,RRinc,RRmean,cons_2005ppp_pc,gdp_2005ppp_pc,totpop,runningpop
2087,GRC,Greece,Mature economies,1988,I,wyd,1,1988,8,1.0036983,11164.0,9085,10454.33926429884,16890.1953125,10.036983,3760.8032643000042
1816,FRA,France,Mature economies,1989,I,wyd,1,1988,7,5.7668932,11236.0,10674,13408.86583479267,23767.998046875,57.668932,3766.5701575000044
1887,GBR,United Kingdom,Mature economies,1986,I,wyd,1,1988,8,5.6928328,11239.0,8978,11262.25187198989,20009.89453125,56.928328,3772.2629903000043
734,CAN,Canada,Mature economies,1987,I,wyd,1,1988,5,2.6895,11417.0,14401,13931.711995178908,26127.9375,26.895,3774.9524903000042
1344,DEU,Germany,Mature economies,1989,I,wyd,1,1988,5,7.8144616,11444.0,13913,14466.112435404219,24801.767578125,78.144616,3782.766951900004
1139,COL,Colombia,L. America & Carib.,1988,I,povcal,1,1988,10,3.191325,11476.0,2785,3809.6649796557863,5784.0361328125,31.91325,3785.958276900004
287,BEL,Belgium,Mature economies,1988,I,wyd,1,1988,8,0.9901664000000001,11596.0,9653,12459.33873902407,23672.939453125,9.901664,3786.948443300004
2965,JPN,Japan,Mature economies,1988,I,wyd,1,1988,6,12.2613,11684.0,12709,12993.78828708804,24021.92578125,122.613,3799.209743300004
4067,NLD,Netherlands,Mature economies,1987,I,wyd,1,1988,8,1.4760094,11893.0,9574,12143.27512491104,23805.724609375,14.760094,3800.685752700004
1405,DNK,Denmark,Mature economies,1987,I,wyd,1,1988,6,0.5129516,11967.0,12610,12008.44431545474,25000.275390625,5.129516000000001,3801.198704300004
2828,ITA,Italy,Mature economies,1986,I,wyd,1,1988,9,5.6629288,12109.0,7943,11681.59537054071,20977.615234375,56.629288,3806.861633100004
4185,NZL,New Zealand,Mature economies,1986,I,wyd,1,1988,6,0.335,12244.0,12046,10418.6015990235,19328.11328125,3.35,3807.196633100004
174,AUT,Austria,Mature economies,1987,I,wyd,1,1988,5,0.7585316999999999,12331.0,14056,13816.96814901831,23062.646484375,7.585317,3807.955164800004
136,AUS,Australia,Mature economies,1989,I,wyd,1,1988,7,1.6532200000000001,12345.0,11678,12463.26584832049,23370.16796875,16.5322,3809.608384800004
439,BGR,Bulgaria,Mature economies,1989,C,povcal,1,1988,10,0.8981446,12424.0,6203,4605.6326918683535,8135.71337890625,8.981446,3810.5065294000037
5504,USA,United States,Mature economies,1986,I,wyd,1,1988,5,24.4499008,12441.0,16411,19491.28196162233,29269.197265625,244.499008,3834.9564302000035
4899,SVN,Slovenia,Mature economies,1987,I,povcal,1,1988,10,0.19951960000000002,12548.0,6151,,,1.995196,3835.1559498000033
1748,FIN,Finland,Mature economies,1987,I,wyd,1,1988,9,0.4946481,12873.0,9268,10371.71359432845,21054.041015625,4.9464809999999995,3835.6505979000035
1345,DEU,Germany,Mature economies,1989,I,wyd,1,1988,6,7.8144616,13011.0,13913,14466.112435404219,24801.767578125,78.144616,3843.4650595000035
